ID,Название трека,ID альбома,ID жанра,Длительность,Размер,Стоимость,исполнитель
924,Stripsearch,74,4,270106,8861119,"187,00",Faith No More
925,Last Cup Of Sorrow,74,4,251663,8221247,"78,00",Faith No More
926,Naked In Front Of The Computer,74,4,128757,4225077,"185,00",Faith No More
927,Helpless,74,4,326217,10753135,"187,00",Faith No More
928,Mouth To Mouth,74,4,228493,7505887,"129,00",Faith No More
929,Ashes To Ashes,74,4,217391,7093746,"144,00",Faith No More
930,She Loves Me Not,74,4,209867,6887544,"183,00",Faith No More
931,Got That Feeling,74,4,140852,4643227,"72,00",Faith No More
932,Paths Of Glory,74,4,257253,8436300,"164,00",Faith No More
933,Home Sick Home,74,4,119040,3898976,"126,00",Faith No More
934,Pristina,74,4,232698,7497361,"94,00",Faith No More
935,Land Of Sunshine,75,4,223921,7353567,"62,00",Faith No More
936,Caffeine,75,4,267937,8747367,"115,00",Faith No More
937,Midlife Crisis,75,4,263235,8628841,"102,00",Faith No More
938,RV,75,4,223242,7288162,"132,00",Faith No More
939,Smaller And Smaller,75,4,310831,10180103,"162,00",Faith No More
940,Everything's Ruined,75,4,273658,9010917,"188,00",Faith No More
941,Malpractice,75,4,241371,7900683,"190,00",Faith No More
942,Kindergarten,75,4,270680,8853647,"54,00",Faith No More
943,Be Aggressive,75,4,222432,7298027,"141,00",Faith No More
944,A Small Victory,75,4,297168,9733572,"133,00",Faith No More
945,Crack Hitler,75,4,279144,9162435,"72,00",Faith No More
946,Jizzlobber,75,4,398341,12926140,"112,00",Faith No More
947,Midnight Cowboy,75,4,251924,8242626,"98,00",Faith No More
948,Easy,75,4,185835,6073008,"173,00",Faith No More
949,Get Out,76,1,137482,4524972,"159,00",Faith No More
950,Ricochet,76,1,269400,8808812,"176,00",Faith No More
951,Evidence,76,1,293590,9626136,"114,00",Faith No More
952,The Gentle Art Of Making Enemies,76,1,209319,6908609,"159,00",Faith No More
953,Star A.D.,76,1,203807,6747658,"154,00",Faith No More
954,Cuckoo For Caca,76,1,222902,7388369,"147,00",Faith No More
955,Caralho Voador,76,1,242102,8029054,"63,00",Faith No More
956,Ugly In The Morning,76,1,186435,6224997,"99,00",Faith No More
957,Digging The Grave,76,1,185129,6109259,"87,00",Faith No More
958,Take This Bottle,76,1,298997,9779971,"147,00",Faith No More
959,King For A Day,76,1,395859,13163733,"99,00",Faith No More
960,What A Day,76,1,158275,5203430,"87,00",Faith No More
961,The Last To Know,76,1,267833,8736776,"53,00",Faith No More
962,Just A Man,76,1,336666,11031254,"82,00",Faith No More
963,Absolute Zero,76,1,181995,5929427,"171,00",Faith No More
964,From Out Of Nowhere,77,4,202527,6587802,"128,00",Faith No More
965,Epic,77,4,294008,9631296,"95,00",Faith No More
966,Falling To Pieces,77,4,316055,10333123,"99,00",Faith No More
967,Surprise! You're Dead!,77,4,147226,4823036,"70,00",Faith No More
968,Zombie Eaters,77,4,360881,11835367,"196,00",Faith No More
969,The Real Thing,77,4,493635,16233080,"120,00",Faith No More
970,Underwater Love,77,4,231993,7634387,"184,00",Faith No More
971,The Morning After,77,4,223764,7355898,"140,00",Faith No More
972,Woodpecker From Mars,77,4,340532,11174250,"171,00",Faith No More
973,War Pigs,77,4,464770,15267802,"143,00",Faith No More
974,Edge Of The World,77,4,250357,8235607,"99,00",Faith No More
975,Deixa Entrar,78,7,33619,1095012,"173,00",Falamansa
976,Falamansa Song,78,7,237165,7921313,"170,00",Falamansa
977,Xote Dos Milagres,78,7,269557,8897778,"89,00",Falamansa
978,Rindo ГЂ Toa,78,7,222066,7365321,"74,00",Falamansa
979,ConfidГЄncia,78,7,222197,7460829,"147,00",Falamansa
980,ForrГі De TГіquio,78,7,169273,5588756,"156,00",Falamansa
981,Zeca Violeiro,78,7,143673,4781949,"150,00",Falamansa
982,Avisa,78,7,355030,11844320,"90,00",Falamansa
983,Principiando/Decolagem,78,7,116767,3923789,"71,00",Falamansa
984,Asas,78,7,231915,7711669,"68,00",Falamansa
985,Medo De Escuro,78,7,213760,7056323,"71,00",Falamansa
986,OraГ§ГЈo,78,7,271072,9003882,"57,00",Falamansa
987,Minha Gata,78,7,181838,6039502,"134,00",Falamansa
988,Desaforo,78,7,174524,5853561,"108,00",Falamansa
989,In Your Honor,79,1,230191,7468463,"135,00",Foo Fighters
990,No Way Back,79,1,196675,6421400,"171,00",Foo Fighters
991,Best Of You,79,1,255712,8363467,"94,00",Foo Fighters
992,DOA,79,1,252186,8232342,"124,00",Foo Fighters
993,Hell,79,1,117080,3819255,"145,00",Foo Fighters
994,The Last Song,79,1,199523,6496742,"113,00",Foo Fighters
995,Free Me,79,1,278700,9109340,"181,00",Foo Fighters
996,Resolve,79,1,288731,9416186,"132,00",Foo Fighters
997,The Deepest Blues Are Black,79,1,238419,7735473,"65,00",Foo Fighters
998,End Over End,79,1,352078,11395296,"111,00",Foo Fighters
999,Still,80,1,313182,10323157,"114,00",Foo Fighters
1000,What If I Do?,80,1,302994,9929799,"55,00",Foo Fighters
1001,Miracle,80,1,209684,6877994,"193,00",Foo Fighters
1002,Another Round,80,1,265848,8752670,"91,00",Foo Fighters
1003,Friend Of A Friend,80,1,193280,6355088,"73,00",Foo Fighters
1004,Over And Out,80,1,316264,10428382,"97,00",Foo Fighters
1005,On The Mend,80,1,271908,9071997,"63,00",Foo Fighters
1006,Virginia Moon,80,1,229198,7494639,"100,00",Foo Fighters
1007,Cold Day In The Sun,80,1,200724,6596617,"198,00",Foo Fighters
1008,Razor,80,1,293276,9721373,"189,00",Foo Fighters
1009,All My Life,81,4,263653,8665545,"142,00",Foo Fighters
1010,Low,81,4,268120,8847196,"76,00",Foo Fighters
1011,Have It All,81,4,298057,9729292,"91,00",Foo Fighters
1012,Times Like These,81,4,266370,8624691,"137,00",Foo Fighters
1013,Disenchanted Lullaby,81,4,273528,8919111,"173,00",Foo Fighters
1014,Tired Of You,81,4,311353,10094743,"150,00",Foo Fighters
1015,Halo,81,4,306442,10026371,"57,00",Foo Fighters
1016,Lonely As You,81,4,277185,9022628,"62,00",Foo Fighters
1017,Overdrive,81,4,270550,8793187,"81,00",Foo Fighters
1018,Burn Away,81,4,298396,9678073,"102,00",Foo Fighters
1019,Come Back,81,4,469968,15371980,"175,00",Foo Fighters
1020,Doll,82,1,83487,2702572,"127,00",Foo Fighters
1021,Monkey Wrench,82,1,231523,7527531,"198,00",Foo Fighters
1022,"Hey, Johnny Park!",82,1,248528,8079480,"192,00",Foo Fighters
1023,My Poor Brain,82,1,213446,6973746,"117,00",Foo Fighters
1024,Wind Up,82,1,152163,4950667,"95,00",Foo Fighters
1025,Up In Arms,82,1,135732,4406227,"136,00",Foo Fighters
1026,My Hero,82,1,260101,8472365,"53,00",Foo Fighters
1027,See You,82,1,146782,4888173,"72,00",Foo Fighters
1028,Enough Space,82,1,157387,5169280,"148,00",Foo Fighters
1029,February Stars,82,1,289306,9344875,"155,00",Foo Fighters
1030,Everlong,82,1,250749,8270816,"59,00",Foo Fighters
1031,Walking After You,82,1,303856,9898992,"183,00",Foo Fighters
1032,New Way Home,82,1,342230,11205664,"88,00",Foo Fighters
1033,My Way,83,12,275879,8928684,"172,00",Frank Sinatra
1034,Strangers In The Night,83,12,155794,5055295,"87,00",Frank Sinatra
1035,"New York, New York",83,12,206001,6707993,"143,00",Frank Sinatra
1036,I Get A Kick Out Of You,83,12,194429,6332441,"183,00",Frank Sinatra
1037,Something Stupid,83,12,158615,5210643,"128,00",Frank Sinatra
1038,Moon River,83,12,198922,6395808,"197,00",Frank Sinatra
1039,What Now My Love,83,12,149995,4913383,"122,00",Frank Sinatra
1040,Summer Love,83,12,174994,5693242,"197,00",Frank Sinatra
1041,For Once In My Life,83,12,171154,5557537,"195,00",Frank Sinatra
1042,Love And Marriage,83,12,89730,2930596,"168,00",Frank Sinatra
1043,They Can't Take That Away From Me,83,12,161227,5240043,"59,00",Frank Sinatra
1044,My Kind Of Town,83,12,188499,6119915,"76,00",Frank Sinatra
1045,Fly Me To The Moon,83,12,149263,4856954,"119,00",Frank Sinatra
1046,I've Got You Under My Skin,83,12,210808,6883787,"148,00",Frank Sinatra
1047,The Best Is Yet To Come,83,12,173583,5633730,"70,00",Frank Sinatra
1048,It Was A Very Good Year,83,12,266605,8554066,"136,00",Frank Sinatra
1049,Come Fly With Me,83,12,190458,6231029,"158,00",Frank Sinatra
1050,That's Life,83,12,187010,6095727,"104,00",Frank Sinatra
1051,The Girl From Ipanema,83,12,193750,6410674,"134,00",Frank Sinatra
1052,The Lady Is A Tramp,83,12,184111,5987372,"127,00",Frank Sinatra
1053,"Bad, Bad Leroy Brown",83,12,169900,5548581,"147,00",Frank Sinatra
1054,Mack The Knife,83,12,292075,9541052,"89,00",Frank Sinatra
1055,Loves Been Good To Me,83,12,203964,6645365,"113,00",Frank Sinatra
1056,L.A. Is My Lady,83,12,193175,6378511,"192,00",Frank Sinatra
1057,Entrando Na Sua (Intro),84,7,179252,5840027,"53,00",Funk Como Le Gusta
1058,Nervosa,84,7,229537,7680421,"64,00",Funk Como Le Gusta
1059,Funk De Bamba (Com Fernanda Abreu),84,7,237191,7866165,"126,00",Funk Como Le Gusta
1060,Call Me At CleoВґs,84,7,236617,7920510,"124,00",Funk Como Le Gusta
1061,Olhos Coloridos (Com Sandra De SГЎ),84,7,321332,10567404,"84,00",Funk Como Le Gusta
1062,ZambaГ§ГЈo,84,7,301113,10030604,"179,00",Funk Como Le Gusta
1063,Funk Hum,84,7,244453,8084475,"97,00",Funk Como Le Gusta
1064,Forty Days (Com DJ Hum),84,7,221727,7347172,"147,00",Funk Como Le Gusta
1065,Balada Da Paula,84,7,322821,10603717,"166,00",Funk Como Le Gusta
1066,Dujji,84,7,324597,10833935,"121,00",Funk Como Le Gusta
1067,Meu Guarda-Chuva,84,7,248528,8216625,"143,00",Funk Como Le Gusta
1068,MotГ©is,84,7,213498,7041077,"147,00",Funk Como Le Gusta
1069,Whistle Stop,84,7,526132,17533664,"140,00",Funk Como Le Gusta
1070,16 Toneladas,84,7,191634,6390885,"178,00",Funk Como Le Gusta
1071,Divirta-Se (Saindo Da Sua),84,7,74919,2439206,"138,00",Funk Como Le Gusta
1072,Forty Days Instrumental,84,7,292493,9584317,"97,00",Funk Como Le Gusta
1073,Г“ia Eu Aqui De Novo,85,10,219454,7469735,"108,00",Gilberto Gil
1074,BaiГЈo Da Penha,85,10,247928,8393047,"56,00",Gilberto Gil
1075,Esperando Na Janela,85,10,261041,8660617,"50,00",Gilberto Gil
1076,Juazeiro,85,10,222275,7349779,"79,00",Gilberto Gil
1077,Гљltimo Pau-De-Arara,85,10,200437,6638563,"71,00",Gilberto Gil
1078,Asa Branca,85,10,217051,7387183,"87,00",Gilberto Gil
1079,Qui Nem JilГі,85,10,204695,6937472,"153,00",Gilberto Gil
1080,Assum Preto,85,10,199653,6625000,"70,00",Gilberto Gil
1081,Pau-De-Arara,85,10,191660,6340649,"147,00",Gilberto Gil
1082,A Volta Da Asa Branca,85,10,271020,9098093,"119,00",Gilberto Gil
1083,O Amor Daqui De Casa,85,10,148636,4888292,"64,00",Gilberto Gil
1084,As Pegadas Do Amor,85,10,209136,6899062,"179,00",Gilberto Gil
1085,Lamento Sertanejo,85,10,260963,8518290,"180,00",Gilberto Gil
1086,Casinha Feliz,85,10,32287,1039615,"65,00",Gilberto Gil
1087,IntroduГ§ГЈo (Live),86,7,154096,5227579,"53,00",Gilberto Gil
1088,Palco (Live),86,7,238315,8026622,"91,00",Gilberto Gil
1089,Is This Love (Live),86,7,295262,9819759,"146,00",Gilberto Gil
1090,Stir It Up (Live),86,7,282409,9594738,"196,00",Gilberto Gil
1091,Refavela (Live),86,7,236695,7985305,"128,00",Gilberto Gil
1092,Vendedor De Caranguejo (Live),86,7,248842,8358128,"82,00",Gilberto Gil
1093,Quanta (Live),86,7,357485,11774865,"167,00",Gilberto Gil
1094,Estrela (Live),86,7,285309,9436411,"159,00",Gilberto Gil
1095,Pela Internet (Live),86,7,263471,8804401,"70,00",Gilberto Gil
1096,CГ©rebro EletrГґnico (Live),86,7,231627,7805352,"186,00",Gilberto Gil
1097,OpachorГґ (Live),86,7,259526,8596384,"50,00",Gilberto Gil
1098,Copacabana (Live),86,7,289671,9673672,"88,00",Gilberto Gil
1099,A Novidade (Live),86,7,316969,10508000,"116,00",Gilberto Gil
1100,Ghandi (Live),86,7,222458,7481950,"63,00",Gilberto Gil
1101,De Ouro E Marfim (Live),86,7,234971,7838453,"163,00",Gilberto Gil
1102,Doce De Carnaval (Candy All),87,2,356101,11998470,"133,00",Gilberto Gil
1103,Lamento De Carnaval,87,2,294530,9819276,"142,00",Gilberto Gil
1104,Pretinha,87,2,265273,8914579,"184,00",Gilberto Gil
1105,A Novidade,73,7,324780,10765600,"117,00",Eric Clapton
1106,Tenho Sede,73,7,261616,8708114,"101,00",Eric Clapton
1107,Refazenda,73,7,218305,7237784,"118,00",Eric Clapton
1108,Realce,73,7,264489,8847612,"163,00",Eric Clapton
1109,EsotГ©rico,73,7,317779,10530533,"100,00",Eric Clapton
1110,DrГЈo,73,7,301453,9931950,"58,00",Eric Clapton
1111,A Paz,73,7,293093,9593064,"146,00",Eric Clapton
1112,Beira Mar,73,7,295444,9597994,"51,00",Eric Clapton
1113,Sampa,73,7,225697,7469905,"67,00",Eric Clapton
1114,ParabolicamarГЎ,73,7,284943,9543435,"100,00",Eric Clapton
1115,Tempo Rei,73,7,302733,10019269,"149,00",Eric Clapton
1116,Expresso 2222,73,7,284760,9690577,"52,00",Eric Clapton
1117,Aquele AbraГ§o,73,7,263993,8805003,"147,00",Eric Clapton
1118,Palco,73,7,270550,9049901,"121,00",Eric Clapton
1119,Toda Menina Baiana,73,7,278177,9351000,"82,00",Eric Clapton
1120,SГ­tio Do Pica-Pau Amarelo,73,7,218070,7217955,"185,00",Eric Clapton
1121,Straight Out Of Line,88,3,259213,8511877,"106,00",Godsmack
1122,Faceless,88,3,216006,6992417,"178,00",Godsmack
1123,Changes,88,3,260022,8455835,"119,00",Godsmack
1124,Make Me Believe,88,3,248607,8075050,"70,00",Godsmack
1125,I Stand Alone,88,3,246125,8017041,"170,00",Godsmack
1126,Re-Align,88,3,260884,8513891,"101,00",Godsmack
1127,I Fucking Hate You,88,3,247170,8059642,"120,00",Godsmack
1128,Releasing The Demons,88,3,252760,8276372,"192,00",Godsmack
1129,Dead And Broken,88,3,251454,8206611,"70,00",Godsmack
1130,I Am,88,3,239516,7803270,"107,00",Godsmack
1131,The Awakening,88,3,89547,3035251,"192,00",Godsmack
1132,Serenity,88,3,274834,9172976,"128,00",Godsmack
1133,American Idiot,89,4,174419,5705793,"146,00",Green Day
1134,Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home,89,4,548336,17875209,"199,00",Green Day
1135,Holiday,89,4,232724,7599602,"190,00",Green Day
1136,Boulevard Of Broken Dreams,89,4,260858,8485122,"59,00",Green Day
1137,Are We The Waiting,89,4,163004,5328329,"60,00",Green Day
1138,St. Jimmy,89,4,175307,5716589,"92,00",Green Day
1139,Give Me Novacaine,89,4,205871,6752485,"180,00",Green Day
1140,She's A Rebel,89,4,120528,3901226,"87,00",Green Day
1141,Extraordinary Girl,89,4,214021,6975177,"175,00",Green Day
1142,Letterbomb,89,4,246151,7980902,"74,00",Green Day
1143,Wake Me Up When September Ends,89,4,285753,9325597,"89,00",Green Day
1144,Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again,89,4,558602,18139840,"110,00",Green Day
1145,Whatsername,89,4,252316,8244843,"163,00",Green Day
1146,Welcome to the Jungle,90,1,273552,4538451,"131,00",Guns N' Roses
1147,It's So Easy,90,1,202824,3394019,"175,00",Guns N' Roses
1148,Nightrain,90,1,268537,4457283,"108,00",Guns N' Roses
1149,Out Ta Get Me,90,1,263893,4382147,"68,00",Guns N' Roses
1150,Mr. Brownstone,90,1,228924,3816323,"178,00",Guns N' Roses
1151,Paradise City,90,1,406347,6687123,"100,00",Guns N' Roses
1152,My Michelle,90,1,219961,3671299,"142,00",Guns N' Roses
1153,Think About You,90,1,231640,3860275,"73,00",Guns N' Roses
1154,Sweet Child O' Mine,90,1,356424,5879347,"69,00",Guns N' Roses
1155,You're Crazy,90,1,197135,3301971,"91,00",Guns N' Roses
1156,Anything Goes,90,1,206400,3451891,"148,00",Guns N' Roses
1157,Rocket Queen,90,1,375349,6185539,"56,00",Guns N' Roses
1158,Right Next Door to Hell,91,1,182321,3175950,"142,00",Guns N' Roses
1159,Dust N' Bones,91,1,298374,5053742,"104,00",Guns N' Roses
1160,Live and Let Die,91,1,184016,3203390,"167,00",Guns N' Roses
1161,Don't Cry (Original),91,1,284744,4833259,"194,00",Guns N' Roses
1162,Perfect Crime,91,1,143637,2550030,"62,00",Guns N' Roses
1163,You Ain't the First,91,1,156268,2754414,"151,00",Guns N' Roses
1164,Bad Obsession,91,1,328282,5537678,"172,00",Guns N' Roses
1165,Back off Bitch,91,1,303436,5135662,"188,00",Guns N' Roses
1166,Double Talkin' Jive,91,1,203637,3520862,"145,00",Guns N' Roses
1167,November Rain,91,1,537540,8923566,"90,00",Guns N' Roses
1168,The Garden,91,1,322175,5438862,"77,00",Guns N' Roses
1169,Garden of Eden,91,1,161539,2839694,"140,00",Guns N' Roses
1170,Don't Damn Me,91,1,318901,5385886,"77,00",Guns N' Roses
1171,Bad Apples,91,1,268351,4567966,"192,00",Guns N' Roses
1172,Dead Horse,91,1,257600,4394014,"119,00",Guns N' Roses
1173,Coma,91,1,616511,10201342,"177,00",Guns N' Roses
1174,Civil War,92,3,461165,15046579,"129,00",Guns N' Roses
1175,14 Years,92,3,261355,8543664,"61,00",Guns N' Roses
1176,Yesterdays,92,3,196205,6398489,"195,00",Guns N' Roses
1177,Knockin' On Heaven's Door,92,3,336457,10986716,"67,00",Guns N' Roses
1178,Get In The Ring,92,3,341054,11134105,"129,00",Guns N' Roses
1179,Shotgun Blues,92,3,203206,6623916,"153,00",Guns N' Roses
1180,Breakdown,92,3,424960,13978284,"83,00",Guns N' Roses
1181,Pretty Tied Up,92,3,287477,9408754,"142,00",Guns N' Roses
1182,Locomotive,92,3,522396,17236842,"180,00",Guns N' Roses
1183,So Fine,92,3,246491,8039484,"69,00",Guns N' Roses
1184,Estranged,92,3,563800,18343787,"116,00",Guns N' Roses
1185,You Could Be Mine,92,3,343875,11207355,"58,00",Guns N' Roses
1186,Don't Cry,92,3,284238,9222458,"174,00",Guns N' Roses
1187,My World,92,3,84532,2764045,"158,00",Guns N' Roses
1188,Colibri,93,2,361012,12055329,"175,00",Incognito
1189,Love Is The Colour,93,2,251585,8419165,"139,00",Incognito
1190,Magnetic Ocean,93,2,321123,10720741,"192,00",Incognito
1191,Deep Waters,93,2,396460,13075359,"57,00",Incognito
1192,L'Arc En Ciel De Miles,93,2,242390,8053997,"109,00",Incognito
1193,Gypsy,93,2,330997,11083374,"150,00",Incognito
1194,Journey Into Sunlight,93,2,249756,8241177,"93,00",Incognito
1195,Sunchild,93,2,259970,8593143,"89,00",Incognito
1196,Millenium,93,2,379167,12511939,"80,00",Incognito
1197,Thinking 'Bout Tomorrow,93,2,355395,11865384,"123,00",Incognito
1198,Jacob's Ladder,93,2,367647,12201595,"144,00",Incognito
1199,She Wears Black,93,2,528666,17617944,"123,00",Incognito
1200,Dark Side Of The Cog,93,2,377155,12491122,"108,00",Incognito
1201,Different World,94,1,258692,4383764,"194,00",Iron Maiden
1202,These Colours Don't Run,94,1,412152,6883500,"73,00",Iron Maiden
1203,Brighter Than a Thousand Suns,94,1,526255,8721490,"59,00",Iron Maiden
1204,The Pilgrim,94,1,307593,5172144,"96,00",Iron Maiden
1205,The Longest Day,94,1,467810,7785748,"89,00",Iron Maiden
1206,Out of the Shadows,94,1,336896,5647303,"149,00",Iron Maiden
1207,The Reincarnation of Benjamin Breeg,94,1,442106,7367736,"134,00",Iron Maiden
1208,For the Greater Good of God,94,1,564893,9367328,"118,00",Iron Maiden
1209,Lord of Light,94,1,444614,7393698,"81,00",Iron Maiden
1210,The Legacy,94,1,562966,9314287,"165,00",Iron Maiden
1211,Hallowed Be Thy Name (Live) [Non Album Bonus Track],94,1,431262,7205816,"78,00",Iron Maiden
1212,The Number Of The Beast,95,3,294635,4718897,"141,00",Iron Maiden
1213,The Trooper,95,3,235311,3766272,"150,00",Iron Maiden
1214,Prowler,95,3,255634,4091904,"60,00",Iron Maiden
1215,Transylvania,95,3,265874,4255744,"118,00",Iron Maiden
1216,Remember Tomorrow,95,3,352731,5648438,"78,00",Iron Maiden
1217,Where Eagles Dare,95,3,289358,4630528,"199,00",Iron Maiden
1218,Sanctuary,95,3,293250,4694016,"191,00",Iron Maiden
1219,Running Free,95,3,228937,3663872,"196,00",Iron Maiden
1220,Run To The Hilss,95,3,237557,3803136,"156,00",Iron Maiden
1221,2 Minutes To Midnight,95,3,337423,5400576,"175,00",Iron Maiden
1222,Iron Maiden,95,3,324623,5195776,"170,00",Iron Maiden
1223,Hallowed Be Thy Name,95,3,471849,7550976,"198,00",Iron Maiden
1224,Be Quick Or Be Dead,96,3,196911,3151872,"52,00",Iron Maiden
1225,From Here To Eternity,96,3,259866,4159488,"65,00",Iron Maiden
1226,Can I Play With Madness,96,3,282488,4521984,"147,00",Iron Maiden
1227,Wasting Love,96,3,347846,5566464,"54,00",Iron Maiden
1228,Tailgunner,96,3,249469,3993600,"164,00",Iron Maiden
1229,The Evil That Men Do,96,3,325929,5216256,"60,00",Iron Maiden
1230,Afraid To Shoot Strangers,96,3,407980,6529024,"145,00",Iron Maiden
1231,Bring Your Daughter... To The Slaughter,96,3,317727,5085184,"74,00",Iron Maiden
1232,Heaven Can Wait,96,3,448574,7178240,"62,00",Iron Maiden
1233,The Clairvoyant,96,3,269871,4319232,"197,00",Iron Maiden
1234,Fear Of The Dark,96,3,431333,6906078,"185,00",Iron Maiden
1235,The Wicker Man,97,1,275539,11022464,"149,00",Iron Maiden
1236,Ghost Of The Navigator,97,1,410070,16404608,"60,00",Iron Maiden
1237,Brave New World,97,1,378984,15161472,"127,00",Iron Maiden
1238,Blood Brothers,97,1,434442,17379456,"133,00",Iron Maiden
1239,The Mercenary,97,1,282488,11300992,"142,00",Iron Maiden
1240,Dream Of Mirrors,97,1,561162,22448256,"171,00",Iron Maiden
1241,The Fallen Angel,97,1,240718,9629824,"66,00",Iron Maiden
1242,The Nomad,97,1,546115,21846144,"107,00",Iron Maiden
1243,Out Of The Silent Planet,97,1,385541,15423616,"109,00",Iron Maiden
1244,The Thin Line Between Love & Hate,97,1,506801,20273280,"190,00",Iron Maiden
1245,Wildest Dreams,98,13,232777,9312384,"198,00",Iron Maiden
1246,Rainmaker,98,13,228623,9146496,"137,00",Iron Maiden
1247,No More Lies,98,13,441782,17672320,"140,00",Iron Maiden
1248,Montsegur,98,13,350484,14020736,"63,00",Iron Maiden
1249,Dance Of Death,98,13,516649,20670727,"123,00",Iron Maiden
1250,Gates Of Tomorrow,98,13,312032,12482688,"69,00",Iron Maiden
1251,New Frontier,98,13,304509,12181632,"135,00",Iron Maiden
1252,Paschendale,98,13,508107,20326528,"181,00",Iron Maiden
1253,Face In The Sand,98,13,391105,15648948,"194,00",Iron Maiden
1254,Age Of Innocence,98,13,370468,14823478,"78,00",Iron Maiden
1255,Journeyman,98,13,427023,17082496,"85,00",Iron Maiden
1256,Be Quick Or Be Dead,99,1,204512,8181888,"192,00",Iron Maiden
1257,From Here To Eternity,99,1,218357,8739038,"117,00",Iron Maiden
1258,Afraid To Shoot Strangers,99,1,416496,16664589,"139,00",Iron Maiden
1259,Fear Is The Key,99,1,335307,13414528,"197,00",Iron Maiden
1260,Childhood's End,99,1,280607,11225216,"82,00",Iron Maiden
1261,Wasting Love,99,1,350981,14041216,"143,00",Iron Maiden
1262,The Fugitive,99,1,294112,11765888,"80,00",Iron Maiden
1263,Chains Of Misery,99,1,217443,8700032,"105,00",Iron Maiden
1264,The Apparition,99,1,234605,9386112,"180,00",Iron Maiden
1265,Judas Be My Guide,99,1,188786,7553152,"185,00",Iron Maiden
1266,Weekend Warrior,99,1,339748,13594678,"98,00",Iron Maiden
1267,Fear Of The Dark,99,1,436976,17483789,"111,00",Iron Maiden
1268,01 - Prowler,100,6,236173,5668992,"115,00",Iron Maiden
1269,02 - Sanctuary,100,6,196284,4712576,"72,00",Iron Maiden
1270,03 - Remember Tomorrow,100,6,328620,7889024,"62,00",Iron Maiden
1271,04 - Running Free,100,6,197276,4739122,"101,00",Iron Maiden
1272,05 - Phantom of the Opera,100,6,428016,10276872,"135,00",Iron Maiden
1273,06 - Transylvania,100,6,259343,6226048,"83,00",Iron Maiden
1274,07 - Strange World,100,6,332460,7981184,"59,00",Iron Maiden
1275,08 - Charlotte the Harlot,100,6,252708,6066304,"194,00",Iron Maiden
1276,09 - Iron Maiden,100,6,216058,5189891,"176,00",Iron Maiden
1277,The Ides Of March,101,13,105926,2543744,"151,00",Iron Maiden
1278,Wrathchild,101,13,174471,4188288,"198,00",Iron Maiden
1279,Murders In The Rue Morgue,101,13,258377,6205786,"145,00",Iron Maiden
1280,Another Life,101,13,203049,4874368,"75,00",Iron Maiden
1281,Genghis Khan,101,13,187141,4493440,"104,00",Iron Maiden
1282,Innocent Exile,101,13,232515,5584861,"127,00",Iron Maiden
1283,Killers,101,13,300956,7227440,"80,00",Iron Maiden
1284,Prodigal Son,101,13,372349,8937600,"155,00",Iron Maiden
1285,Purgatory,101,13,200150,4804736,"69,00",Iron Maiden
1286,Drifter,101,13,288757,6934660,"121,00",Iron Maiden
1287,Intro- Churchill S Speech,102,13,48013,1154488,"188,00",Iron Maiden
1288,Aces High,102,13,276375,6635187,"122,00",Iron Maiden
1289,2 Minutes To Midnight,102,3,366550,8799380,"181,00",Iron Maiden
1290,The Trooper,102,3,268878,6455255,"121,00",Iron Maiden
1291,Revelations,102,3,371826,8926021,"127,00",Iron Maiden
1292,Flight Of Icarus,102,3,229982,5521744,"198,00",Iron Maiden
1293,Rime Of The Ancient Mariner,102,3,789472,18949518,"194,00",Iron Maiden
1294,Powerslave,102,3,454974,10921567,"139,00",Iron Maiden
1295,The Number Of The Beast,102,3,275121,6605094,"53,00",Iron Maiden
1296,Hallowed Be Thy Name,102,3,451422,10836304,"110,00",Iron Maiden
1297,Iron Maiden,102,3,261955,6289117,"79,00",Iron Maiden
1298,Run To The Hills,102,3,231627,5561241,"193,00",Iron Maiden
1299,Running Free,102,3,204617,4912986,"101,00",Iron Maiden
1300,Wrathchild,102,13,183666,4410181,"103,00",Iron Maiden
1301,Acacia Avenue,102,13,379872,9119118,"165,00",Iron Maiden
1302,Children Of The Damned,102,13,278177,6678446,"190,00",Iron Maiden
1303,Die With Your Boots On,102,13,314174,7542367,"93,00",Iron Maiden
1304,Phantom Of The Opera,102,13,441155,10589917,"187,00",Iron Maiden
1305,Be Quick Or Be Dead,103,1,233142,5599853,"60,00",Iron Maiden
1306,The Number Of The Beast,103,1,294008,7060625,"126,00",Iron Maiden
1307,Wrathchild,103,1,174106,4182963,"143,00",Iron Maiden
1308,From Here To Eternity,103,1,284447,6831163,"100,00",Iron Maiden
1309,Can I Play With Madness,103,1,213106,5118995,"75,00",Iron Maiden
1310,Wasting Love,103,1,336953,8091301,"170,00",Iron Maiden
1311,Tailgunner,103,1,247640,5947795,"153,00",Iron Maiden
1312,The Evil That Men Do,103,1,478145,11479913,"167,00",Iron Maiden
1313,Afraid To Shoot Strangers,103,1,412525,9905048,"65,00",Iron Maiden
1314,Fear Of The Dark,103,1,431542,10361452,"69,00",Iron Maiden
1315,Bring Your Daughter... To The Slaughter...,104,1,376711,9045532,"112,00",Iron Maiden
